51300011558,bda,90,153
51300045296,abf,27,239
51300085262,egd,190,6
51300095829,gag,186,109
51300100189,ggg,273,69
51300134624,eba,219,169
51300193604,edf,215,108
51300195555,cdb,55,248
51300238910,ebg,214,17
51300242411,aad,271,65
51300320543,aba,153,60
51300352217,ggc,261,117
51300361957,aaf,91,5
51300393281,eaa,115,207
51300402211,fgc,267,23
51300422089,afb,212,164
51300533226,ege,250,155
51300568094,fdc,169,252
51300594809,fba,252,166
51300684628,bae,177,258
51300707084,dgb,236,115
51300757267,bec,232,233
51300832805,ebe,139,212
51300859785,cec,133,70
51300869227,dbg,274,291
51300891444,eab,229,130
51300965460,gge,76,98
51300973832,cfe,280,245
51301022048,fef,167,17
51301042502,aeb,5,130
51301049181,abe,210,247
51301057728,dae,290,255
51301078677,cff,21,242
51301079583,ebb,83,48
51301108376,aff,250,236
51301112678,dgf,121,16
51301114423,eca,213,168
51301147603,gcc,284,86
51301177300,cgd,152,192
51301238905,efc,189,191
51301248812,efe,154,124
51301293457,cea,102,48
51301371320,caf,264,267
51301381336,cfg,222,49
51301384430,ddb,243,281
51301390784,ade,187,34
51301392089,egd,31,5
51301398803,gbd,74,172
51301406585,faf,220,295
51301431958,bge,35,39
51301468457,ddc,285,99
51301468624,aec,141,131
51301498691,gce,247,219
51301519420,agd,214,132
51301548335,gce,284,208
51301656103,gfb,152,264
51301659943,fdf,222,280
51301660359,fab,106,27
51301687399,dbe,246,16
51301696589,bbg,68,249
51301700039,fed,197,103
51301708873,fac,53,89
51301728568,cbf,267,18
51301759443,ada,238,164
51301765477,ggg,112,78
51301821964,fgd,158,97
51301829429,dde,40,49
51301897552,bdc,290,79
51301914010,bef,22,110
51301920506,ddb,121,325
51301955439,bga,184,273
51301963789,cgd,181,167
51301998272,dbd,135,187
51301999218,acd,273,219
51302003671,aef,89,154
51302004430,feg,85,166
51302006880,eee,205,228
51302052883,dag,30,197
51302086862,acg,69,39
51302087935,dgg,180,29
51302091217,gdg,93,165
51302140324,add,261,9
51302155576,ceb,14,228
51302155770,baa,81,298
51302180351,gee,105,264
51302246106,deg,146,128
51302297188,cbc,66,197
51302309745,bbe,120,158
51302323989,bda,232,153
51302348402,dge,159,100
51302351548,ggc,24,113
51302369417,cee,208,19
51302381069,cdc,252,289
51302418860,gab,192,5
51302465661,cfa,228,186
51302497752,fce,171,96
51302526469,ffa,115,115
51302549218,aad,255,70
51302565913,caa,132,9
51302616614,egf,200,241
51302619073,dfg,205,229
51302630584,dgd,125,203
51302636263,ffd,125,283
51302655313,abf,119,262
51302666797,agb,103,138
51302709741,gde,116,69
51302759097,gea,178,120
51302776742,bee,57,252
51302789278,cfe,185,230
51302836298,ffa,176,123
51302841363,cgb,96,207
51302850294,efc,143,156
51302988309,cdf,13,157
51303011935,dcg,32,110
51303023229,fbf,53,129
